"","models","AIC.eq","AIC.weights.eq","AIC.CADC","AIC.weights.CADC","AIC.other.ec","AIC.weights.other.ec","AIC.commit.dollars","AIC.weights.commit.dollars"
"1","mean",95.66,0,99.76,0,99.75,0,203.74,0
"2","meancpt",82.78,0.02,99.76,0,99.75,0,203.74,0
"3","meanar1",92.67,0,101.1,0,101.1,0,205.74,0
"4","meanar2",94.38,0,101.39,0,101.39,0,207.66,0
"5","meanar1cpt",81.25,0.04,101.1,0,101.1,0,184.13,0
"6","meanar2cpt",104.67,0,103.1,0,103.1,0,217.74,0
"7","trend",87.3,0,100.78,0,100.77,0,203.07,0
"8","trendcpt",82.85,0.02,100.78,0,100.77,0,203.07,0
"9","trendar1",82.05,0.03,95.06,0,95.06,0,186.61,0
"10","trendar2",75.32,0.77,78.38,0.93,78.37,0.93,170.95,0.5
"11","trendar1cpt",78.88,0.13,83.7,0.07,83.7,0.06,186.61,0
"12","trendar2cpt",87.32,0,90.38,0,90.37,0,170.95,0.5
